Hospital Name,City,State
Bliss Laser Skin And Hair Removal Clinic,Ludhiana,Punjab
BLOSSOM CHARITABLE MATERNITY & GENERAL HOSPITAL,Jalandhar,Punjab
Bombay Clinic and Multispeciality Hospital,Bathinda,Punjab
BONE & JOINT HOSPITAL,Patiala,Punjab
Boor Singh Memorial Hospital,Faridkot,Punjab
Boparai Dukh Niwaran Hospital,Amritsar,Punjab
Bowry Medical Center,Jalandhar,Punjab
BR CHOWDHARY HOSPITAL,Hoshiarpur,Punjab
Brain Hospital,Fatehgarh Sahib,Punjab
Brains Hospital,Patiala,Punjab
Brar Clinic,Faridkot,Punjab
Brar Dental Clinic,Faridkot,Punjab
Brar Eye Clinic,Ludhiana,Punjab
Brar Eye Hospital,Kot Kapura,Punjab
Brar Eye Hospital and Laser Centre,Faridkot,Punjab
Brar Eye Hospital and Lasik Centre,Faridkot,Punjab
Brar Hospital,Mansa,Punjab
Brar Hospital -Khanna,Khanna,Punjab
Brar Nursing Home,Ludhiana,Punjab
Bright Smile Group Of Dental Clinics,Amritsar,Punjab
Bright Whites Dental Clinic,Amritsar,Punjab
Brij Memorial Charitable Society,Amritsar,Punjab
Bv Endoscopy Services,Jalandhar,Punjab
C H C Shahkot,Jalandhar,Punjab
C M C Hospital,Ludhiana,Punjab
C M C Hospital,Gurdaspur,Punjab
C. D Nursing Home,Fatehgarh Sahib,Punjab
Cambos Dental Clinic,Mansa,Punjab
Canine Cares Dog Clinic,Ludhiana,Punjab
CANTT. GENERAL HOSPITAL,Firozpur,Punjab
Capitol Hospital,Jalandhar,Punjab
Capitol Hospitals,Jalandhar,Punjab
Car Clinic,Batala,Punjab
Care & Cure Medicity Hospital,Amritsar,Punjab
Care 32 Dental Clinic,Ludhiana,Punjab
Care And Cure Dental Clinic And Implant Center,Dera Bassi,Punjab
Care and Curo Mehta Dental Clinic,Batala,Punjab
Care Hospital,Pathankot,Punjab
Care Hospital,Gurdaspur,Punjab
Care Max Hospital,Jalandhar,Punjab
Care N Cure Dental Clinic,Phagwara,Punjab
Carewell Heart and Super Speciality Hospital,Amritsar,Punjab
Ceeyem Hospital,Vadakara,Punjab
Cell Clinic,Kharar,Punjab
Central Hospital and Maternity Home,Jalandhar,Punjab
Central Jail Hospital,Patiala,Punjab
CENTRAL JAIL HOSPITAL,Firozpur,Punjab
Centre For Retinal Diseases,Jalandhar,Punjab
Centre For Sight,Ludhiana,Punjab
Centre For Sight,Rupnagar,Punjab
Centre For Sight - Patiala,Patiala,Punjab
Centre For Sight,Ferozpur Road,ludhiana
Centre For Sight,Mohali,sas nagar
Chahal Dental Clinic,Patiala,Punjab
Chahal Hospital,Bathinda,Punjab
Chaitainya Public Hospital,Zirakpur,Punjab
Chaitanya Hospital,Ludhiana,Punjab
Chaitanya Public Hospital,Zirakpur,Punjab
Chaitanya Public Hospital,Sas Nagar,Punjab
Chaman Dalip Homeo Clinic,Patiala,Punjab
Chaman Hospital,Patiala,Punjab
Chaman Surgical and Maternity Hospital,Gurdaspur,Punjab
Chanan Ram Sampla Memorial Hospital,Jalandhar,Punjab
Chandan Hospital,Amritsar,Punjab
Chandan Hospital,Mohali,Punjab
Chander Hospital,Dera Bassi,Punjab
Chandi Hospital,Jalandhar,Punjab
Chandigarh Child Care Centre,Faridkot,Punjab
Chandigarh Child care hospital,Kot Kapura,Punjab
Chandigarh Children Hospital,Patiala,Punjab
Chandigarh Children Maternity Hospital,Bathinda,Punjab
Chandigarh Clinic,Bathinda,Punjab
Chandigarh Clinic and Nursing Home,Bathinda,Punjab
Chandigarh Clinical Lab,Amritsar,Punjab
Chandigarh Clinical Laboratory,Faridkot,Punjab
Chandigarh Clinical Laboratory And Clinic,Kot Kapura,Punjab
Chandigarh Computerised Laboratory and Ecg,Sangrur,Punjab
Chandigarh Dental Clinic,Shahkot,Punjab
Chandigarh Dental Clinic,Bathinda,Punjab
Chandigarh Medicos & Clinical Lab,Patiala,Punjab
Chandra Prakash Dental Clinic,Ludhiana,Punjab
Chandravati Hospital,Firozpur,Punjab
Chandrawati Hospital,Fazilka,Punjab
Charanjit Eye Hospital,Jalandhar,Punjab
Charanjiv Bal Hospital,Phagwara,Punjab
Chaudhary Hospital,Mohali,Punjab
Chaudhary Hospital / Chaudhry Hospital,Sas Nagar,Punjab
Chauhan Hospital,Gurdaspur,Punjab
Chauhan medicity hospital,Pathankot,Punjab
Chauhan Multispeciality and Trauma Centre,Gurdaspur,Punjab
Chawdhary Hospital,Jalandhar,Punjab
CHAWLA CHILDREN HOSPITAL,Jalandhar,Punjab
Chawla Clinic,Amritsar,Punjab
Chawla Dental Clinic,Moga,Punjab
Chawla Health Care Centre,Rupnagar,Punjab
Chawla Heart Care Centre,Jalandhar,Punjab
CHAWLA NURSING HOME,Mohali,Punjab
Chawla Nursing Home,Ludhiana,Punjab
Chawla Nursing Home,Rupnagar,Punjab
Chawla Nursing Home And Maternity Hospital,Jalandhar,Punjab
CHD Savdashi Kendra And Patanjali Clinic,Khanna,Punjab
Cheema Dental Clinic,Gurdaspur,Punjab
CHEEMA HOSPITAL,Mohali,Punjab
CHEEMA MEDICAL COMPLEX,Mohali,Punjab
Chera Clinical Laboratory,Ludhiana,Punjab
CHEST CARE CENTRE,Mohali,Punjab
Chest Hospital &Superspeciality Center,Ludhiana,Punjab
Chhabra Dental Clinic,Amritsar,Punjab
Chhabra Hospital,Bathinda,Punjab
Chhabra Hospital,Ludhiana,Punjab
Chhabra Hospital & Maternity Home,Jalandhar,Punjab
Chhabra Hospital and Maternity Home,Jalandhar,Punjab
Chheharta Dental Clinic,Amritsar,Punjab
Chhina Dental Care,Rupnagar,Punjab
Chhina Dental Clinic,Mohali,Punjab
Chhina Hospital,Amritsar,Punjab
Chhinda Hospital,Amritsar,Punjab
Chikitsa Hospital,Amritsar,Punjab
Chikitsa Multispeciality Hospital,Gurdaspur,Punjab
CHILD CARE HOSPITAL,Hoshiarpur,Punjab
Children and General Nursing Home,Nawanshahr,Punjab
Children Educational Clinic,Bathinda,Punjab
Chintpurni Medical College & Hospital,Pathankot,Punjab
Chiranjiv Hospital,Phagwara,Punjab
Chirayu Hospital,Ludhiana,Punjab
Chitra Hospital,Jalandhar,Punjab
CHOPRA CLINIC,Ludhiana,Punjab
Chopra Dental Clinic,Amritsar,Punjab
Chopra Hospital and Maternity Center,Jalandhar,Punjab
Chopra Nursing Home,Patiala,Punjab
Chopra Nursing Home,Firozpur,Punjab
Choudhary clinic,Amritsar,Punjab
Choudhary Surgical and Maternity,Hoshiarpur,Punjab
Choudhrary Ent Maternity and General Health Care Center / Choudhari Hospital,Amritsar,Punjab
Christ Clinic,Jalandhar,Punjab
Christian Medical College,Ludhiana,Punjab
Christian Medical College & Hospital,Ludhiana,Punjab
Christian Medical College And Hospital,Ludhiana,Punjab
Christian Medical College and Hospitals,Ludhiana,Punjab
Chug Clinic,Ludhiana,Punjab
Chugh Eye Surgery Center,Ludhiana,Punjab
Chugh Hospital,Firozpur,Punjab
Chugh Nursing Home,Firozpur,Punjab
Chugh's Clinic,Patiala,Punjab
City Centre Charitable Hospital,Jalandhar,Punjab
City Clinic,Gurdaspur,Punjab
City Clinic & Nursing Home,Patiala,Punjab
City Clinical Lab,Patiala,Punjab
City Dental Clinic,Jalandhar,Punjab
City Dental Clinic,Amritsar,Punjab
City Health Hospital,Rupnagar,Punjab
City Hospital,Firozpur,Punjab
City Hospital,Jalandhar,Punjab
City Hospital,Gurdaspur,Punjab
City Hospital,Fatehgarh Sahib,Punjab
City Hospital And Maternity Home,Jalandhar,Punjab
CITY MEDICAL CENTRE,Pathankot,Punjab
City Medical Centre,Nawanshahr,Punjab
City Smile Dental clinic,Mohali,Punjab
Civi Hospital,Bathinda,Punjab
Civil Hospital,Sangrur,Punjab
Civil Hospital,Bathinda,Punjab
Civil Hospital,Faridkot,Punjab
Civil Hospital,Jalandhar,Punjab
Civil Hospital,Pathankot,Punjab
Civil Hospital,Rupnagar,Punjab
Civil Hospital,Muktsar,Punjab
Civil Hospital,Hoshiarpur,Punjab
Civil Hospital,Zirakpur,Punjab
CIVIL HOSPITAL,Firozpur,Punjab
Civil Hospital,Malerkotla,Punjab
Civil Hospital,Gurdaspur,Punjab
CIVIL HOSPITAL,Ludhiana,Punjab
Civil Hospital,Kapurthala,Punjab
Civil Hospital,Abohar,Punjab
Civil Hospital,Barnala,Punjab
Civil Hospital,Sri Muktsar Sahib,Punjab
Civil Hospital,Mansa,Punjab
Civil Hospital and Trauma Center,Ludhiana,Punjab
Civil Hospital Bhol Kalota,Hoshiarpur,Punjab
Civil Hospital Goverment,Patiala,Punjab
Civil Hospital Jalalabad,Fazilka,Punjab
Civil Hospital Kharar,Ludhiana,Punjab
Civil Hospital Nakodar,Nakodar,Punjab
Civil Hospital Sunam,Sangrur,Punjab
Civil Hospital Taran Taran,Amritsar,Punjab
Civil Veterinary Hospital,Jalandhar,Punjab
Civil Vetnory Hospital,Ludhiana,Punjab
Clinic,Sangrur,Punjab
Clinical Lab,Kharar,Punjab
Clinical Lab Ludhiana,Ludhiana,Punjab
Clinical Laboratory,Jalandhar,Punjab
Clinsoft Clinical Research,Mohali,Punjab
Clinsoft Clinical Research (div Of Ak Lifecare Pvt. Ltd. ),Mohali,Punjab
CM Singh Hospital,Ludhiana,Punjab
CMC & Hospital,Ludhiana,Punjab
Cmc Hospital,Pathankot,Punjab
CMC Hospital,Sas Nagar,Punjab
CMC Hospital,Ludhiana,Punjab
Cmc Hospital & Ivf Centre,Jalandhar,Punjab
Co Operative Hospital,Vadakara,Punjab
Columbia Asia Hospital,Patiala,Punjab
Columbia Asia Hospital Patiala,Patiala,Punjab
Columbia Asia Hospital Private Limited,Patiala,Punjab
Columbiaasia Hospital Pvt. Ltd.,Fatehgarh Sahib,Punjab
Composite Hospital Bsf,Jalandhar,Punjab
Computer Clinic,Zirakpur,Punjab
Continental Computer Clinic,Sangrur,Punjab
Corporate Hospital,Amritsar,Punjab
Cosmo Hair Clinics,Ludhiana,Punjab
Cosmo Hospital,Mohali,Punjab
Cosmo Medicals Pvt Ltd,Rupnagar,Punjab
Creative Dental Clinic Hajipur,Mukerian,Punjab
Cure And Care Clinic,Jalandhar,Punjab
Cure And Care Homeo Skin Clinic,Ludhiana,Punjab
D S Hospital and Panchkarma Sanotorium / D. S. Hospital and Panchkarma Sanotarium,Amritsar,Punjab
D. M Bone and Joint Hospital,Bathinda,Punjab
D. M. C. Hospital Managing Society,Ludhiana,Punjab
Dalia Clinic,Jalandhar,Punjab
Daljit Homeopathic Clinic,Amritsar,Punjab
Daljit Kaur Memorial Ayurvedic Clinic And Kerala Panchkarma Research Centre,Amritsar,Punjab
Dang Hospital,Fatehgarh Sahib,Punjab
Dangs Hospital & Nursing Home,Jalandhar,Punjab
Dangs Hospital And Nursing Home,Jalandhar,Punjab
Darishti Hospital,Gurdaspur,Punjab
Darishti Hospital Pvt. Ltd.,Fatehgarh Sahib,Punjab
Darshan Dental Hospital,Udaipur,Punjab
Darshan E N T Allergy and Endoscopic Center,Bathinda,Punjab
Darshan Opticals Co.  Contact Lens Clinic,Ludhiana,Punjab
Dashmesh Clinic And Diagnostic Centre,Amritsar,Punjab
Dashmesh Homoeo Clinic,Patiala,Punjab
Dashmesh Hospital,Jalandhar,Punjab
Dashmesh Hospital,Patiala,Punjab
Dasmesh Hospital,Faridkot,Punjab
Data Clinic,Ludhiana,Punjab
DAV Edwardganj hospital,Muktsar,Punjab
Dayal Kidney Hospital,Bathinda,Punjab
Dayanad Medical College & Hospital - Ludhiana,Ludhiana,Punjab
Dayanand Ayurvedic College Hospital and Pharmacy,Jalandhar,Punjab
Dayanand Hospital And Medical College,Ludhiana,Punjab
Dayanand Medical College & Hospital,Ludhiana,Punjab
Dayanand Medical College And Hospital,Ludhiana,Punjab
DE Addiction Civil Hospital,Jalandhar,Punjab
Deep Ayurved Clinic,Firozpur,Punjab
Deep Ayurvedic Clinic & Panchkarma Centre,Mohali,Punjab
Deep Clinic,Jalandhar,Punjab
Deep Dental Clinic,Amritsar,Punjab
Deep Dental Hospital,Talwandi Sabo,Punjab
Deep Hospital,Patiala,Punjab
Deep Hospital,Ludhiana,Punjab
Deep Hospital,Amritsar,Punjab
Deep Hospital,Nawanshahr,Punjab
Deep Hospital Aurveda,Ludhiana,Punjab
Deep Hospital ludhiana,Ludhiana,Punjab
Deep Hospital,Hoshiarpur,hoshiarpur
Deep Multispeciality Hospital,Gurdaspur,Punjab
Deep Nursing Home,Rupnagar,Punjab
DEEP NURSING HOME,Barnala,Punjab
Deep Nursing Home - Dhuri,Barnala,Punjab
Deep Nursing Home And Hospital,Gurdaspur,Punjab
Deepak Hospital,Ludhiana,Punjab
Deepas Beauty Clinic,Nakodar,Punjab
Deepika Beauty Clinic,Patiala,Punjab
Deepk Dental & Implant Clinic,Bathinda,Punjab
Dehli Child Care And Dental Hospital,Bathinda,Punjab
Delhi Child Care & Dental Hospital,Bathinda,Punjab
Delhi Computerized Lab,Sangrur,Punjab
Delhi Eye Hospital,Fazilka,Punjab
Delhi Eye Hospital,Moga,Punjab
Delhi Eye Hospital,Firozpur,Punjab
Delhi Hair Clinic,Bathinda,Punjab
Delhi Heart Institute & Multispeciality Hospital,Bathinda,Punjab
Delhi Heart Institute and Multi-Speciality Hospital,Bathinda,Punjab
Delhi New Born & Child Hospital,Phagwara,Punjab
Delhi Nursing Home,Bathinda,Punjab
Dental Clinic,Malerkotla,Punjab
DENTAL CLINIC,Mohali,Punjab
Dental Clinic,Jalandhar,Punjab
Dental Clinic,Gurdaspur,Punjab
Dental Clinic And Facial Surgery Centre,Mohali,Punjab
dental Implant And Esthetic Clinic,Ludhiana,Punjab
Denter Clinic,Jalandhar,Punjab
Dentista Dental Clinics,Amritsar,Punjab
Dentomax Dental Clinic,Mohali,Punjab
Deol Bone & Joint Hospital,Bathinda,Punjab
Deol Hospital,Bathinda,Punjab
Deol Hospital,Ludhiana,Punjab
Deol Hospital Payal,Ludhiana,Punjab
Deol Hospital Pvt Ltd,Ludhiana,Punjab
Deol Ortho Clinic,Ludhiana,Punjab
Derma Clinique,Mohali,Punjab
Desh Bhagat Ayurvedic College & Hospital,Mandi Gobindgarh,Punjab
Desh Bhagat Dental College & Hospital Shri Muktsar Sahib,Fatehgarh Sahib,Punjab
Dev Clinical Laboratory,Jalandhar,Punjab
Dev Hospital,Ludhiana,Punjab
Dev Hospital,Amritsar,Punjab
Dev Sukh Sagar Hospital,Amritsar,Punjab
deva Ji Charitable Hospital Ambulance Services,Jalandhar,Punjab
Devaji Charistable Hospital,Jalandhar,Punjab
Devi Dayal Hospital,Ludhiana,Punjab
Devi Dayal Hospital Medical Centre,Ludhiana,Punjab
Devi Talab Charitable Hospital,Jalandhar,Punjab
Dewan Hospital,Ludhiana,Punjab
Dewan Hospital & Advanced Laparoscopy,Urology And General Surgery Centre,ludhiana
Dhaliwal Homeo Clinic,Ludhiana,Punjab
Dhaliwal Hospital,Moga,Punjab
Dhaliwal Hospital,Amritsar,Punjab
Dhaliwal Multispeciality Hospital,Amritsar,Punjab
Dhami Eye Care Hospital,Ludhiana,Punjab
Dhami Nursing Home,Hoshiarpur,Punjab
Dhanwantri Ayurveda Clinic & Panchkarma Centre,Jalandhar,Punjab
Dhawan Clinic,Jalandhar,Punjab
Dhawan clinical laboratory,Jalandhar,Punjab
Dhawan Hospital,Sangrur,Punjab
Dhawan Hospital,Amritsar,Punjab
Dhawan Maternity General and Eye Hospital,Amritsar,Punjab
Dhawan Nursing Home,Amritsar,Punjab
Dhawan Surgical Centre,Rupnagar,Punjab
Dhawan Surgicare and Multispeciality Hospital,Ludhiana,Punjab
Dhesi Eye Hospital,Jalandhar,Punjab
Dhillon Children Hospital,Bathinda,Punjab
DHILLON CLINIC,Sri Muktsar Sahib,Punjab
Dhillon Clinic,Phagwara,Punjab
Dhillon Clinical Laboratory,Hoshiarpur,Punjab
Dhillon ENT Hospital,Khanna,Punjab
Dhillon Hospital,Patti,Punjab
Dhillon Hospital,Firozpur,Punjab
Dhillon Hospital,Bathinda,Punjab
Dhiman Dental Clinic,Fatehgarh Sahib,Punjab
Dhindsa Health Care,Amritsar,Punjab
DHINGRA CLINIC,Ludhiana,Punjab
Dhingra Clinical Laboratory,Jalandhar,Punjab
Dhingras Clinic,Mohali,Punjab
Dhingra's Clinic,Mohali,Punjab
Dhir Children and General Hospital,Patiala,Punjab
Dhir Eye Hospital,Patiala,Punjab
Dhir General Hospital,Nabha,Punjab
Dhir Hospital Firozpur,Firozpur,Punjab
Dhruv Nursing Home,Amritsar,Punjab
Dhuper Hospital,Mohali,Punjab
Dhuri Clinical Lab,Ludhiana,Punjab
Diabetic Clinic and Resarch,Amritsar,Punjab
Diagnostic Clinical Compendium And Medical Software,Ludhiana,Punjab
Didar Hospital,Ludhiana,Punjab
Diet Dr Clinic Powered By Harpreet Pasricha,Mohali,Punjab
Diet Well Clinic,Ludhiana,Punjab
Dilbag Physiotherapy Hospital,Hoshiarpur,Punjab
Dinesh Hospital,Sri Muktsar Sahib,Punjab
District Civil Hospital,Fazilka,Punjab
District Hospital Kapurthala,Punjab,
Divine Aesthetic & Laser Clinic,Amritsar,Punjab
Divine Rehabilitation & Pain Management Clinic,Rupnagar,Punjab
Divisonal Hospital,Firozpur,Punjab
DMC & Hospital. Ludhiana,Ludhiana,Punjab
Dmc Hospital,Ludhiana,Punjab
Dmc Hospital & Trauma Centre,Jalandhar,Punjab
Dmc Hospital And Trauma Centre,Jalandhar,Punjab
DMW Hospital,Patiala,Punjab
DMW Railway Hospital,Patiala,Punjab
Doaba Clinical Laboratory,Nawanshahr,Punjab
Doaba Dental And Implant Clinic,Jalandhar,Punjab
Doaba Hospital,Jalandhar,Punjab
Doaba Hospital Pvt. Ltd,Jalandhar,Punjab
Doaba Hospital Pvt. Ltd.,Jalandhar,Punjab
Doctor Clinic,Muktsar,Punjab
Doctor Milkhi Ram Memorial Dental Hospital,Moga,Punjab
Doctor Shamsher Singh Eye Hospital,Khanna,Punjab
Doctor's Clinic,Ludhiana,Punjab
Doggy World Vet Clinic,Amritsar,Punjab
DOGRA AYURVEDIC EYE HOSPITAL,Jalandhar,Punjab
Dogra Clinic,Jalandhar,Punjab
Dogra Clinical Laboratory,Gurdaspur,Punjab
Dogra Dental & Implant Clinic,Ludhiana,Punjab
Dogra Health Clinic,Ludhiana,Punjab
Dogra Hospital,Mukerian,Punjab
Domeli Hospital & Surgical Centre,Mansa,Punjab
Dr . surjit Singh Super Speciality Hospital,Rupnagar,Punjab
Dr Abrol Clinic,Amritsar,Punjab
Dr Abrols Medical Center,Gurdaspur,Punjab
Dr Afzals Nursing Home,Ludhiana,Punjab
Dr Amandeep Singh Eye Hospital,Mohali,Punjab
Dr Amandeep Singh Eye Hospital,Kapurthala,Punjab
Dr Amanjot's Homeopathic Clinic,Zira,Punjab
Dr Amrita Whig Gynae and Maternity Centre,Ludhiana,Punjab
Dr Anil Singh Hospital,Pathankot,Punjab
Dr Aravinda Jawali Clinic,Ludhiana,Punjab
Dr Asha Gupta Maternity Home and Dr Triloki Eye Hospital,Barnala,Punjab
Dr Avtar Chand Clinic,Jalandhar,Punjab
Dr Avtar's Dental Clinic,Sangrur,Punjab
Dr B L Kapur Memorial Hospital,Ludhiana,Punjab
Dr Balbir Singhs Children Hospital,Jalandhar,Punjab
Dr Baljeet Sidhu Clinic,Amritsar,Punjab
Dr Bedi's Dental Clinic,Mohali,Punjab
Dr Bhandaris Brain Spine and Taruma Centre,Fatehgarh Sahib,Punjab
Dr Bindra Dental Clinic,Jalandhar,Punjab
Dr Bindra Super Specialty Clinics,Ludhiana,Punjab
Dr Bittu,Sangrur,Punjab
Dr Chalana Eye Hospital,Firozpur,Punjab
Dr Chugs Maternityand Children Hospital,Firozpur,Punjab
Dr Daljit Singh Eye Hospital,Amritsar,Punjab
Dr Dangs Nursing Home,Jalandhar,Punjab
Dr Dasinder Ayurvedic Clinic,Ludhiana,Punjab
Dr Dayal Singh Dental Clinic,Ludhiana,Punjab
Dr Dharambir Agnihotri Pandit Madho Ram Memorial Hospital,Amritsar,Punjab
Dr G. S. Randhawa,Fatehgarh Sahib,Punjab
Dr Girish Dential Clinic,Ludhiana,Punjab
Dr Gomti Prasad Thappar Hospital,Moga,Punjab
Dr Gupta Piles Hospital,Ludhiana,Punjab
Dr Gupta's Tooth Clinic & Orthodontic Centre,Jalandhar,Punjab
Dr H S Saini Deepak Hospital,Ludhiana,Punjab
Dr Hans Raj Hospital and Scan Center,Firozpur,Punjab
Dr Hansraj Clinic,Ludhiana,Punjab
Dr Hardas Singh Orthopaedic Hospital & Superspeciality Research Center,Amritsar,Punjab
Dr Harpreet Eye and Dental Care Centre,Jalandhar,Punjab
Dr Hindi Memorial Hospital and Surgical Center,Bathinda,Punjab
Dr Inamdar's Dental Studio,Sri Muktsar Sahib,Punjab
Dr Iqbals Psychiatric Care Centre,Moga,Punjab
Dr Jain's Multi Speciality Dental Clinic,Ludhiana,Punjab
Dr Jalota Hospital,Gurdaspur,Punjab
Dr Jasmines Slimming And Ayurvedic Clinic,Ludhiana,Punjab
Dr Jasvinder Singh,Ent Specialist,patiala
Dr Kalas Nursing Home,Ludhiana,Punjab
Dr Kamal Mahajan Child Hospital,Amritsar,Punjab
Dr kapil homeo clinic,Ludhiana,Punjab
Dr Lakhan Paul Ayurvedic Clinic,Hoshiarpur,Punjab
Dr Lal Path Labs,Ludhiana,Punjab
Dr Lekhraj Dental Clinic,Hoshiarpur,Punjab
Dr Matra Dass Eye And General Hospital,Jalandhar,Punjab
Dr Mittals Homoeo Medi Clinic,Bathinda,Punjab
Dr Mittals' Hospital,Patiala,Punjab
Dr Mohinders Ortho and Gen Hospital,Firozpur,Punjab
Dr Mrs Chander Hospital,Zirakpur,Punjab
Dr Muktinder Singh Advance Research Clinic,Ludhiana,Punjab
Dr Naresh Hospital And Heart Centre,Barnala,Punjab
Dr Nazia Homeo Care Clinic,Fazilka,Punjab
Dr Om Prakash Eye Hospital,Amritsar,Punjab
Dr Pal Clinic,Moga,Punjab
Dr Paramjit Singh,Gurdaspur,Punjab
Dr Parmod Jain Hospital,Barnala,Punjab
Dr parmod's speciality dental implant clinic,Kot Kapura,Punjab
Dr Pawan Chopra Dental Hospital,Ludhiana,Punjab
Dr Poonam Gupta Hospital,Rupnagar,Punjab
Dr Pradeep Sharma Hospital,Barnala,Punjab
Dr Preet Iner Singh Eye Hospital,Fatehgarh Sahib,Punjab
Dr Punj's Artemis Hospital,Amritsar,Punjab
Dr R P Singh Hospital,Sri Muktsar Sahib,Punjab
Dr Rajats Derma Clinic,Jalandhar,Punjab
Dr Rakesh Surgical Center,Barnala,Punjab
Dr Ram Murti Kaushal Hospital,Gurdaspur,Punjab
Dr Rama Sofat Hospital,Ludhiana,Punjab
Dr Rama Sofat Hospital & Dr Ruchika's Test Tube Baby Center,Ludhiana,Punjab
Dr Raman Goyals Eye Hospital,Faridkot,Punjab
Dr Ramesh Super Speciality Eye and Laser Center,Amritsar,Punjab
Dr Ranbir Singh Clinic,Ludhiana,Punjab
Dr Rawlleys Hospital,Fatehgarh Sahib,Punjab
Dr Sandeep Sharma Urology Clinic,Amritsar,Punjab
Dr Sardari LAL Hospital,Gurdaspur,Punjab
Dr Satyapal Mittal Hospital,Moga,Punjab
Dr Saurabh Kansal ENT Clinic,Patiala,Punjab
Dr Shakeens Eye And Dental Hospital,Amritsar,Punjab
Dr Shamser Singh Eye Hospital,Khanna,Punjab
Dr Shamsher Singh Eye Hospital,Ludhiana,Punjab
Dr Sharanjits Nursing Home and Harjinder Maternity Hospital,Jalandhar,Punjab
Dr Sharda Ayurveda,Ludhiana,Punjab
Dr Shyam Clinic,Patiala,Punjab
Dr Sodhis Health Care,Sas Nagar,Punjab
Dr Sukhdev Singh And Sons Clinic,Amritsar,Punjab
Dr Sumita Soffer Hospital,Ludhiana,Punjab
Dr Sushil Eye and Maternity Hospital,Moga,Punjab
Dr Ved Gupta Heart Care,Amritsar,Punjab
Dr Ved Gupta Hospital,Amritsar,Punjab
Dr Vivek Gupta,Mohali,Punjab
Dr Walia Clinic,Kapurthala,Punjab
Dr Zoin Jain Hospital,Ludhiana,Punjab
Dr Zoni Jain Hospital,Ludhiana,Punjab
Dr. Abnish Hospital Pvt. Ltd.,Bathinda,Punjab
Dr. Ahuja's Dentech Smiles Dental Clinic & Implant Center,Ludhiana,Punjab
Dr. Aman Dental Clinic,Ludhiana,Punjab
Dr. Amarinder Singh Clinic,Patiala,Punjab
Dr. Amit Salhotra Clinic,Jalandhar,Punjab
Dr. Arjun Dhawan Clinic,Amritsar,Punjab
Dr. Arjun's Dental Speciality Clinic & Implant Centre,Ludhiana,Punjab
Dr. Arun Thapar Clinic,Ludhiana,Punjab
Dr. Ashoo Singla Clinics,Ludhiana,Punjab
Dr. Atul S Child Care Centre,Jalandhar,Punjab
Dr. Avtar Mavi Homeopathic Clinic,Jalandhar,Punjab
Dr. Awtar Singh Hospital,Firozpur,Punjab
Dr. B. L. Kapur Memorial Hospital,Ludhiana,Punjab
Dr. Baldev Raj's Hospital,Muktsar,Punjab
Dr. Baljit`S Eye Hospital,Ludhiana,Punjab
Dr. Bangia Ayurvedic Clinic & Medicoz,Ludhiana,Punjab
Dr. Bansal's General Clinic,Ludhiana,Punjab
Dr. Barhok Homeopathic Clinic,Mohali,Punjab
Dr. Bhattis Dog & Cat Clinic,Jalandhar,Punjab
Dr. Bimal Garg Hospital,Faridkot,Punjab
Dr. Bindra's Dental Clinic & Implant Centre,Jalandhar,Punjab
Dr. Chaku Eye Surgery Unit And Dr. Chugh Eye Surge,Ludhiana,Punjab
Dr. Chaudhary Hospital & Medical Research Centre Pvt Ltd,Udaipur,Punjab
Dr. D C Sharma Institute Of Diabetes Thyroid Sex & Hormones Srajan Hospital,Udaipur,Punjab
DR. DALJIT SINGH EYE HOSPITAL,Amritsar,Punjab
Dr. Dang Nursing Home,Jalandhar,Punjab
Dr. Dedar Singhs Homeopathic Clinic,Amritsar,Punjab
Dr. DEV Raj Sharma Memorial Hospital,Sangrur,Punjab
Dr. Devinder Clinic,Jalandhar,Punjab
Dr. Devraj Hospital,Faridkot,Punjab
Dr. Dhanwant Singh Eye Hospital,Fatehgarh Sahib,Punjab
Dr. Dilbag Clinic,Amritsar,Punjab
Dr. Gagan Homeopathy Clinic,Mohali,Punjab
Dr. Geol S Neuro and Eye Centre,Jalandhar,Punjab
Dr. Gian Singh Maternity and Nursing Home,Bathinda,Punjab
Dr. Goldy Dental Clinic,Gurdaspur,Punjab
Dr. Goyal Clinic,Ludhiana,Punjab
Dr. Goyals Dental Super Speciality Clinic,Ludhiana,Punjab
DR. GP THAPAR MISSION HOSPITAL,Moga,Punjab
Dr. Grover Eye Hospital,Firozpur,Punjab
Dr. Gulatis Nursing Home and Dental Care Clinic,Bathinda,Punjab
Dr. Gumber's Dental Clinic,Mohali,Punjab
Dr. Gupta's Smile Clinic,Zirakpur,Punjab
Dr. Gurdeep Eye hospital,Hoshiarpur,Punjab
Dr. Gurpreet Health Clinic,Sangrur,Punjab
Dr. Gurvinder Singh`S Hargun Hospital,Amritsar,Punjab
DR. HARBANS SINGH MEMEORIAL HOSPITAL,Sangrur,Punjab
Dr. Hardas Singh Orthopaedic and Multispeciality Research Centre,Amritsar,Punjab
Dr. Harinder Singh Bedi clinic,Ludhiana,Punjab
Dr. Harkawals Homeopathic Clinic,Ludhiana,Punjab
Dr. Harnam Singh Chopra Memorial Clinic,Mandi Gobindgarh,Punjab
Dr. Inderdeep Kaur Sawhney Hospital,Rupnagar,Punjab
Dr. Indra Mother and Child Health Care Clinic,Fatehgarh Sahib,Punjab
