Hospital Name,City,State
Government General Hospital,Puducherry,Puducherry
Mother Care Foundation,Puducherry,Puducherry
S. P. S. K Clinic,Puducherry,Puducherry
Santé Auroville Institute for Integral Health,Puducherry,Puducherry
Sri Arunachalam Hospital,Puducherry,Puducherry
